Project Name:,Contract Type:,Contract Method:,Community:,Originating Department:,Awarded To:,Award Date:,Award Value:
Residential Care,Consulting,Sole Source,Taloyoak,Family Services,Bayfield Homes Ltd.,15 December 2017,"$29,394.00"
Residential Care,Service Contract,Extension,Sanirajak,Family Services,Annie's Havens Ltd.,01 September 2019,"$29,939.00"
CSSW Training,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Child Welfare League of Canada,19 March 2018,"$29,952.78"
Painting of Youth Group Home,Service Contract,Public Request for Proposals,Iqaluit,Family Services,4577 Nunavut Ltd.,17 July 2017,"$30,000.00"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Evelyn Daisy Isnor,01 April 2014,"$30,915.00"
Installation of Cubicles,Purchase Order,Sole Source,Iqaluit,Family Services,Corcan,12 July 2016,"$31,041.00"
Family Home Provider,Service Contract,Sole Source,Iqaluit,Family Services,Roger & Suzanne Sevigny,01 April 2018,"$31,418.80"
Counselor Training - Peer Support Program,Service Contract,Sole Source,Clyde River,Family Services,Illisaqsivik Society of Clyde River,31 January 2014,"$31,598.10"
Residential Care,Service Contract,Sole Source,Gjoa Haven,Family Services,Sinclair Children's Residence Inc.,01 February 2019,"$31,718.82"
Food Security Coalition,Service Contract,Public Request for Proposals,Nunavut Territory,Family Services,Inukpaujaq Consulting,01 September 2019,"$31,875.00"
Inuinnaqtun Translation for the CIS System,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Atiigo Media Inc.,15 November 2018,"$32,358.21"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Partners in Parenting Inc.,21 June 2016,"$32,440.00"
Professional Services - Capacity Assessments,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,"Stirpe, Stones and Associates",15 June 2014,"$32,663.00"
Office Furniture,Purchase Order,Public Tender,Rankin Inlet,Family Services,Ikpiaryuk Services Ltd.,07 March 2021,"$32,872.24"
Residential Care,Consulting,Sole Source,Nunavut Territory,Family Services,"Stirpe, Stones and Associates",05 March 2017,"$33,248.74"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2018,"$33,465.06"
Family Home Provider,Service Contract,Sole Source,Kugluktuk,Family Services,Silvia Moreno,01 April 2018,"$33,750.79"
Specialized Foster Care,Consulting,Sole Source,Kugluktuk,Family Services,Silvia Moreno,06 October 2015,"$33,761.00"
Residential Care,Service Contract,Extension,Pangnirtung,Family Services,Partners in Parenting Inc.,01 July 2018,"$33,810.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Stepping Stones Foster Care Inc.,26 July 2013,"$34,010.00"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,Maryhomes Inc.,16 January 2014,"$34,277.00"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,Partners in Parenting Inc.,01 April 2017,"$34,470.00"
Residential Care,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,"Stirpe, Stones & Associates",05 December 2015,"$34,696.42"
Community Social Services Worker,Service Contract,Sole Source,Coral Harbour,Family Services,Venture Healthcare Inc,29 April 2013,"$35,000.00"
Financial Audit,Service Contract,Public Request for Proposals,Nunavut Territory,Family Services,Mackay Landau,01 April 2013,"$35,000.00"
Foster Care Training,Service Contract,Sole Source,Iqaluit,Family Services,Key Assets Ontario Inc.,01 August 2020,"$35,000.00"
Relocation Services,Service Contract,Public Request for Proposals,Kugaaruk,Family Services,J&N Moving Services Ltd.,05 November 2018,"$35,195.04"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Louise and Richard Vine,01 April 2014,"$35,300.00"
Residential Care,Service Contract,Public Request for Proposals,Igloolik,Family Services,Partners in Parenting Inc.,25 May 2014,"$35,370.00"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,"Metis Child, Family & Community Services",01 September 2020,"$35,549.20"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,Pairijait Tigumivik Society,12 March 2015,"$35,647.36"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,Maryhomes Inc.,01 April 2016,"$35,910.00"
Renew Annual Maintenance Agreement for ISACS,Purchase Order,Sole Source,Iqaluit,Family Services,Direct Impact Solutions Inc.,05 October 2020,"$36,000.00"
Support & Maintenance Contract,Purchase Order,Sole Source,Iqaluit,Family Services,Core Solutions Software Inc.,19 April 2018,"$36,000.00"
Support and Maintenance Contract for ISACS,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Core Solutions Software Inc.,11 April 2019,"$36,000.00"
Five Year Poverty Reduction Action Plan,Consulting,Extension,Iqaluit,Family Services,Arctic Willow Consulting,01 April 2014,"$36,125.00"
2017 Ford F-150,Purchase Order,Public Request for Proposals,Rankin Inlet,Family Services,Ikpiaryuk Services Ltd.,22 March 2017,"$36,146.00"
Education Fees,Service Contract,Sole Source,Taloyoak,Family Services,Edmonton Public Schools,01 April 2018,"$36,333.00"
School Fees,Service Contract,Sole Source,Kugaaruk,Family Services,Edmonton Public Schools,01 April 2018,"$36,333.00"
Special Education Schooling Program,Service Contract,Sole Source,Taloyoak,Family Services,Edmonton Public Schools,01 April 2019,"$36,333.00"
Basic Group Home Needs (Furniture),Purchase Order,Public Tender,Cambridge Bay,Family Services,Kitnuna Expediting Services Ltd.,23 February 2015,"$36,352.85"
,,,,,,,
,,,,,,,
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,"Family & Children's Services of Lanark, Leeds",01 August 2020,"$36,650.00"
2017 Ford Explorer,Purchase Order,Public Request for Proposals,Resolute Bay,Family Services,Ikpiaryuk Services Ltd.,22 March 2017,"$36,664.00"
Ford Explorer,Purchase Order,Public Request for Proposals,Arctic Bay,Family Services,Ikpiaryuk Services Ltd.,22 March 2017,"$36,664.00"
2017 Ford Explorer,Purchase Order,Public Request for Proposals,Chesterfield Inlet,Family Services,Ikpiaryuk Services Ltd.,22 March 2017,"$36,664.00"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,Annie's Haven Ltd.,01 April 2015,"$36,696.00"
2021 Ford Escape,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,Ikpiaryuk Services Ltd.,13 March 2021,"$37,076.00"
2021 Ford Escape,Purchase Order,Public Request for Proposals,Clyde River,Family Services,Ikpiaryuk Services Ltd.,13 March 2021,"$37,076.00"
2021 Ford Escape,Purchase Order,Public Request for Proposals,Coral Harbour,Family Services,Ikpiaryuk Services Ltd.,13 March 2021,"$37,076.00"
Support & Maintenance Contract,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,CoreSolutions Software Inc.,01 April 2016,"$37,200.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Stepping Stones Foster Care Inc.,25 July 2013,"$37,350.00"
Specialized Residential Treatment and Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Stepping Stones Foster Care Inc.,25 July 2013,"$37,350.00"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,Annies Havens Ltd.,11 March 2019,"$37,770.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Stepping Stones Foster Care Inc.,01 April 2014,"$38,159.00"
Specialized Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Maryhomes Inc.,28 November 2013,"$38,174.00"
Residential Care,Service Contract,Public Request for Proposals,Naujaat,Family Services,Protegra Inc.,01 February 2015,"$38,223.74"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Bairn Croft Residential Services Inc.,29 August 2020,"$38,264.36"
Guardianship Assessments,Consulting,Invited Request for Proposals,Nunavut Territory,Family Services,Stirpe Stones & Associates,17 July 2017,"$38,315.15"
Office Furniture,Purchase Order,Public Tender,Arviat,Family Services,Northern Networks Ltd.,03 July 2018,"$38,481.69"
Vehicle,Purchase Order,Public Request for Proposals,Sanikiluaq,Family Services,R.L. Hanson Construction Ltd.,25 February 2019,"$38,515.20"
Vehicle,Purchase Order,Public Request for Proposals,Kimmirut,Family Services,R.L. Hanson Construction Ltd.,25 February 2019,"$38,515.20"
Vehicle,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,R.L. Hanson Construction Ltd.,25 February 2019,"$38,515.20"
Vehicle,Purchase Order,Public Request for Proposals,Pond Inlet,Family Services,R.L. Hanson Construction Ltd.,25 February 2019,"$38,515.20"
Residential Care,Service Contract,Sole Source,Resolute Bay,Family Services,Terry Manik & Christina Collins,22 September 2020,"$38,825.00"
Community Engagement on Income Assistance,Air Charters,Invitational Tender,Sanikiluaq,Family Services,Air Nunavut Ltd.,01 October 2015,"$38,877.75"
Ford Explorer,Purchase Order,Public Request for Proposals,Arctic Bay,Family Services,R.L. Hanson Construction Ltd.,03 March 2018,"$38,925.00"
Ford Explorer,Purchase Order,Public Request for Proposals,Qikiqtarjuaq,Family Services,R.L. Hanson Construction Ltd.,03 March 2018,"$38,925.00"
Ford Explorer,Purchase Order,Public Request for Proposals,Kugluktuk,Family Services,R.L. Hanson Construction Ltd.,03 March 2018,"$38,925.00"
Ford Explorer,Purchase Order,Public Request for Proposals,Gjoa Haven,Family Services,R.L. Hanson Construction Ltd.,03 March 2018,"$38,925.00"
Ford Explorer,Purchase Order,Public Request for Proposals,Arviat,Family Services,R.L. Hanson Construction Ltd.,03 March 2018,"$38,925.00"
Stabilization and Assessment,Consulting,Sole Source,Kugluktuk,Family Services,Maryhomes Inc.,15 January 2016,"$39,245.00"
Community Engagement on Income Assistance,Air Charters,Invitational Tender,Nunavut Territory,Family Services,Ookpik Aviation Inc.,11 September 2015,"$39,301.96"
Residential Care,Consulting,Public Request for Proposals,Southern Canada,Family Services,Independent Advocacy 2010 Inc.,03 September 2019,"$39,821.71"
Vehicle,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,R.L. Hanson Construction Ltd.,31 May 2018,"$39,882.00"
Vehicle,Purchase Order,Public Request for Proposals,Igloolik,Family Services,R.L. Hanson Construction Ltd.,31 May 2018,"$39,882.00"
Vehicle,Purchase Order,Public Request for Proposals,Kinngait,Family Services,R.L. Hanson Construction Ltd.,31 May 2018,"$39,882.00"
Specialized Residential Care,Service Contract,Extension,Iqaluit,Family Services,Ranch Ehrlo Society,01 September 2013,"$39,936.00"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,6639977 Manitoba Ltd.,29 June 2018,"$39,950.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Coral Harbour,Family Services,I Have a Chance Support Services Ltd.,20 July 2016,"$39,976.88"
Specialized Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Gloria's Place,08 November 2013,"$40,185.00"
Residential Care,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,"Stirpe, Stone and Associates",04 February 2017,"$40,409.43"
Residential Care,Service Contract,Public Request for Proposals,Arviat,Family Services,Bairn Croft Residential Services Inc.,31 January 2020,"$40,765.38"
Community Engagement on Income Assistance,Air Charters,Invitational Tender,Nunavut Territory,Family Services,Kitikmeot Air Ltd.,11 September 2015,"$40,949.69"
Parent and Community Engagement,Consulting,Sole Source,Nunavut Territory,Family Services,Qaujigiartiit Health Research Centre,05 March 2018,"$41,113.00"
Specialized Foster Care,Consulting,Sole Source,Iqaluit,Family Services,Partners in Parenting Inc.,11 January 2016,"$41,278.00"
Scanner,Purchase Order,Public Tender,Iqaluit,Family Services,Nuna Depot Inc.,24 May 2020,"$41,715.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$41,800.30"
Residential Care,Consulting,Public Request for Proposals,Pangnirtung,Family Services,Options Youth (Ontario) Inc.,01 November 2016,"$42,065.00"
Promotional Material,Service Contract,Public Request for Proposals,Nunavut Territory,Family Services,Ayaya Communications Inc.,09 October 2019,"$42,728.25"
Ford Explorer,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,R.L. Hanson Construction Ltd.,12 February 2019,"$42,840.00"
Audit Services,Service Contract,Public Request for Proposals,Nunavut Territory,Family Services,Lester Landau Chartered Accountants,08 July 2019,"$42,850.00"
Modules for Income Assistance Staff Training,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Nvision Insight Group Inc.,05 October 2020,"$42,930.56"
2021 Ford F150 4x4,Purchase Order,Public Request for Proposals,Taloyoak,Family Services,Ikpiaryuk Services Ltd.,13 March 2021,"$43,158.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Richard Vine,01 April 2015,"$43,912.00"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,Richard Vine,01 April 2016,"$43,912.00"
Minister's Annual Report on Poverty Reduction,Service Contract,Extension,Nunavut Territory,Family Services,Imaituk Inc.,01 April 2014,"$44,067.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Youthdale Treatment Centres,05 February 2019,"$44,185.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2015,"$44,380.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Coral Harbour,Family Services,6639977 Manitoba Ltd. o/a The Massey Home,01 January 2016,"$45,017.70"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,01 April 2018,"$45,050.00"
Family Home Provider,Service Contract,Sole Source,Iqaluit,Family Services,Roger & Suzanne Sevigny,01 April 2018,"$45,228.50"
Specialized Residential Care,Consulting,Sole Source,Arviat,Family Services,Dana Ryz,12 December 2017,"$45,230.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,01 April 2019,"$45,260.00"
Family Home Provider,Service Contract,Sole Source,Kugluktuk,Family Services,Silvia Moreno,01 July 2018,"$45,307.00"
Elder Care,Consulting,Sole Source,Cambridge Bay,Family Services,NWT Health and Social Services Authority,01 April 2016,"$45,730.00"
Residential Care,Service Contract,Extension,Cambridge Bay,Family Services,Fort Smith Health & Social Authority,01 April 2014,"$45,730.00"
Audit Services,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,"Lester Landau, Chartered Accountants",01 April 2016,"$45,938.00"
Financial Reporting Services,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Lester Landau Chartered Accountants,26 July 2018,"$45,938.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Southern Canada,Family Services,6639977 Manitoba Ltd. o/a The Massey Home,11 November 2015,"$45,975.00"
Residential Care,Consulting,Invited Request for Proposals,Kinngait,Family Services,Bairn Croft Residential Services Inc.,29 December 2017,"$45,995.74"
Residential Care,Consulting,Sole Source,Gjoa Haven,Family Services,Bayfield Treatment Centres,28 April 2017,"$46,096.30"
Residential Care,Consulting,Public Request for Proposals,Sanirajak,Family Services,Annie's Haven Ltd.,01 April 2015,"$46,309.75"
Print Promotional Materials,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Outcrop Nunavut,02 June 2020,"$46,544.97"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Sinclair Children's Residence Inc.,01 July 2014,"$46,600.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Sinclair Children's Residence Inc.,01 July 2014,"$46,600.00"
Specialized Residential Care,Service Contract,Extension,Iqaluit,Family Services,Wood's Homes,10 September 2013,"$46,770.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Stepping Stones Foster Care Inc.,13 July 2014,"$47,000.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,08 January 2014,"$47,001.00"
Guardianship Assessments,Consulting,Sole Source,Nunavut Territory,Family Services,Dr. Emoke Jozsvai,20 February 2018,"$47,202.23"
Vehicle,Purchase Order,Public Tender,Kimmirut,Family Services,Ikpiaryuk Services Ltd.,09 September 2020,"$47,466.20"
"Chevy/GMC, Silverado/Sierra",Purchase Order,Public Tender,Baker Lake,Family Services,R.L. Hanson Construction Ltd.,13 May 2020,"$47,505.00"
"Chevy/GMC, Silverado/Sierra",Purchase Order,Public Tender,Kinngait,Family Services,R.L. Hanson Construction Ltd.,14 May 2020,"$47,505.00"
Residential Care,Service Contract,Extension,Sanikiluaq,Family Services,Sinclair Children's Residence Inc.,01 July 2014,"$47,975.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2017,"$48,007.02"
Relocation,Service Contract,Public Request for Proposals,Baker Lake,Family Services,Atlas Van Lines,22 April 2015,"$48,389.45"
Support Liaison Worker for Ottawa Clients,Consulting,Sole Source,Qikiqtaaluk Region,Family Services,Carla Devet,01 October 2014,"$48,420.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,6639977 Manitoba Ltd. o/a The Massey Home,13 December 2017,"$48,475.00"
Hospital Beds,Purchase Order,Public Tender,Arviat,Family Services,Advanced Medical Solutions Inc. - Medic North,04 August 2016,"$48,764.40"
Hospital Beds,Purchase Order,Public Tender,Iqaluit,Family Services,Advanced Medical Solutions Inc. - Medic North,04 August 2016,"$48,764.40"
Hospital Beds,Purchase Order,Public Tender,Baker Lake,Family Services,Advanced Medical Solutions Inc. - Medic North,04 August 2016,"$48,764.40"
Residential Care,Service Contract,Public Request for Proposals,Igloolik,Family Services,Hawk Residential Care and Treatment Homes Inc,01 October 2013,"$49,122.00"
Guardianship Assessments,Consulting,Invited Request for Proposals,Nunavut Territory,Family Services,"Stirpe, Stones & Associates",27 May 2017,"$49,140.53"
Residential Care,Service Contract,Public Request for Proposals,Coral Harbour,Family Services,6639977 Manitoba Ltd. o/a The Massey H,09 December 2019,"$49,290.00"
Legislative Review,Consulting,Public Request for Proposals,Iqaluit,Family Services,Michael Rudolph,01 April 2013,"$49,316.50"
Professional Consulting Services,Consulting,Public Request for Proposals,Iqaluit,Family Services,Michael Rudolph Consulting,01 June 2014,"$49,316.50"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Mary Homes Inc.,05 May 2019,"$49,350.00"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Evelyn Daisy Isnor Memorial,01 April 2018,"$49,375.00"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Evelyn Isnor,01 April 2020,"$49,375.00"
Residential Care,Consulting,Sole Source,Kinngait,Family Services,Evelyn Daisy Isnor,01 April 2016,"$49,400.00"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Evelyn Daisy Isnor,01 April 2015,"$49,410.00"
"Chevy/GMC, Silverado/Sierra",Purchase Order,Public Tender,Rankin Inlet,Family Services,R.L. Hanson Construction Ltd.,13 May 2020,"$49,449.00"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Evelyn Daisy Isnor,01 April 2019,"$49,500.00"
Specialized Foster Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Stepping Stones Foster Care Inc.,01 November 2015,"$49,794.00"
IA Online Training,Service Contract,Public Request for Proposals,Nunavut Territory,Family Services,NVision Insight Group Inc.,30 August 2019,"$49,963.81"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,I Have A Chance Support Services Ltd.,01 April 2017,"$49,965.60"
Bring Them Home,Service Contract,Sole Source,Iqaluit,Family Services,Top of the World Travel,20 March 2020,"$50,000.00"
Residential Care,Consulting,Public Request for Proposals,Pangnirtung,Family Services,Partners in Parenting Inc.,01 April 2018,"$50,005.00"
Senior Management Retreat,Consulting,Public Request for Proposals,Pangnirtung,Family Services,Knowledge Council Inc.,09 June 2019,"$50,400.00"
Guardianship Assessments,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,"Stirpe, Stones & Associates",20 October 2017,"$50,605.48"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Partners in Parenting Inc.,14 August 2020,"$51,283.50"
Residential Care,Service Contract,Extension,Rankin Inlet,Family Services,Municipality of Rankin Inlet,01 April 2014,"$51,337.00"
Residential Care,Consulting,Sole Source,Kinngait,Family Services,Evelyn Daisy Isnor,01 April 2017,"$51,375.00"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,Ranch Ehrlo Society,01 April 2018,"$51,495.00"
Specialized Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,Maryhomes Inc.,21 October 2013,"$51,574.00"
Residential Care,Consulting,Public Request for Proposals,Pangnirtung,Family Services,I Have a Chance Support Services Ltd.,01 February 2017,"$51,614.72"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Stepping Stones Foster Care Inc.,01 April 2015,"$51,671.00"
Women's Shelter (Old Group Home) Renovations,Minor Construction or Services,Public Tender,Cambridge Bay,Family Services,Kalvik Enterprises Inc.,16 February 2021,"$52,350.00"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,Partners in Parenting Inc.,01 August 2015,"$52,510.00"
Residential Care,Service Contract,Public Request for Proposals,Pangnirtung,Family Services,Reepa Evic Carleton,20 May 2014,"$52,650.00"
Capacity Assessments,Consulting,Public Request for Proposals,Iqaluit,Family Services,"Stripe, Stones and Associates",02 July 2013,"$52,797.00"
"Renovation of Children's Group Home, Phase 1",Service Contract,Invited Request for Proposals,Rankin Inlet,Family Services,Accutech Engineering Inc.,06 March 2015,"$52,800.00"
Auditing Services,Consulting,Public Request for Proposals,Iqaluit,Family Services,Lester Landau,10 April 2015,"$53,000.00"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,I Have a Chance Support Services Ltd.,01 April 2018,"$53,264.75"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Ben Calf Robe Society,01 April 2018,"$53,525.52"
Residential Care,Service Contract,Extension,Kugluktuk,Family Services,March of Dimes Canada,01 April 2014,"$53,898.42"
Professional Services - Capacity Assessments,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,"Stirpe, Stones & Associates",10 May 2015,"$54,520.00"
Residential Care,Service Contract,Public Request for Proposals,Kugaaruk,Family Services,Stepping Stones Foster Care Inc.,29 May 2014,"$54,625.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Independent Advocacy Inc.,10 January 2017,"$54,701.00"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Alliance Youth Services Inc.,01 April 2020,"$54,713.25"
After Hours Emergency Dispatch Services,Service Contract,Sole Source,Iqaluit,Family Services,City of Iqaluit,01 April 2020,"$54,825.00"
Stabilization Care,Consulting,Sole Source,Kugluktuk,Family Services,Teri Basi,29 July 2015,"$54,845.00"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Stepping Stones Foster Care Inc.,01 April 2014,"$54,950.00"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Stepping Stones Foster Care Inc.,01 April 2014,"$54,950.00"
Policy Research,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Arctic Willow Consulting,05 September 2016,"$55,000.00"
Child Welfare Training,Service Contract,Sole Source,Iqaluit,Family Services,Ontario Association of Children's Aid Societi,15 September 2020,"$55,000.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,Bairn Croft Residential Services Inc.,31 August 2015,"$55,057.00"
Residential Care,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,"Stirpe, Stones and Associates",17 July 2016,"$55,161.43"
Online Course Training for Income Assistance,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Nvision Insight Group Inc.,22 December 2016,"$55,239.13"
Residential Care,Service Contract,Sole Source,Pangnirtung,Family Services,I Have a Chance Support Services Ltd.,01 April 2015,"$55,498.54"
,,,,,,,
Specialized Residential Care Treatment,Consulting,Sole Source,Baker Lake,Family Services,Vital Life Inc.,01 April 2016,"$55,751.33"
Specialized Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Options Youth and Associates,14 September 2013,"$55,815.00"
Staff Development,Consulting,Public Request for Proposals,Southern Canada,Family Services,Work with Solutions,01 May 2013,"$55,970.00"
Piqataugitsi Employer Handbook,Service Contract,Public Request for Proposals,Nunavut Territory,Family Services,Atiigo Media Inc.,16 July 2018,"$56,062.98"
System Development/Support Services,Consulting,Sole Source,Nunavut Territory,Family Services,Lorraine MacEachern,15 January 2017,"$56,232.00"
T5 Preparation Support,Service Contract,Sole Source,Iqaluit,Family Services,Lorraine Maceachern,17 December 2018,"$56,232.00"
"Support & Planning, Training Workshops etc.",Air Charters,Invitational Tender,Nunavut Territory,Family Services,Kitikmeot Air Ltd.,28 January 2021,"$56,332.63"
Women's Shelter Renovations,Minor Construction or Services,Public Tender,Cambridge Bay,Family Services,Kalvik Enterprises Inc.,19 January 2021,"$56,400.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Parkland Community Living & Support Services,01 April 2014,"$56,459.00"
Aakuluk Daycare Services,Service Contract,Sole Source,Iqaluit,Family Services,Aakuluk Daycare,01 April 2014,"$56,592.00"
Residential Care,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,"Stirpe, Stones & Associates",13 October 2015,"$56,761.69"
Residential Care,Consulting,Public Request for Proposals,Igloolik,Family Services,Sinclair Children's Residence Inc.,03 October 2016,"$56,950.00"
Policy and Planning Services,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Arctic Willow Consulting,05 September 2016,"$57,000.00"
Residential Care,Service Contract,Extension,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2014,"$57,199.00"
Specialized Residential Care,Consulting,Sole Source,Coral Harbour,Family Services,I Have a Chance Support Services Ltd.,08 December 2015,"$57,236.94"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Yellowknife Association for Community Living,01 April 2018,"$57,298.99"
Installation of Hydronic Heat-Trace,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Northern Networks Ltd.,16 August 2019,"$57,500.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Coral Harbour,Family Services,The Massey Home o/a 6639977 Manitoba Ltd.,02 December 2013,"$57,715.00"
Profile of Homelessness,Service Contract,Sole Source,Iqaluit,Family Services,Cassandra Vink,22 January 2014,"$57,718.00"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Alliance Youth Services Inc.,01 April 2019,"$58,708.30"
Residential Care,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,"Stirpe, Stones and Associates",10 June 2016,"$58,920.94"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Moving Forward Residential Services,10 December 2013,"$59,360.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Options Youth Inc.,01 April 2014,"$59,640.00"
Residential Care,Service Contract,Public Request for Proposals,Arctic Bay,Family Services,Partners in Parenting Inc.,23 September 2019,"$59,935.05"
Residential Care,Service Contract,Extension,Iqaluit,Family Services,Maryhomes Inc.,01 April 2014,"$59,966.00"
Child Sexual Abuse Training Plan,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Child Welfare League of Canada,18 January 2017,"$60,000.00"
Forensic Audit,Consulting,Sole Source,Nunavut Territory,Family Services,Grant Thornton LLP,01 June 2017,"$60,000.00"
Organizational Review,Consulting,Sole Source,Nunavut Territory,Family Services,Knowledge Council Inc.,04 January 2019,"$60,050.00"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Alliance Youth Services Inc.,01 April 2018,"$60,193.25"
Specialized Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Country Haven Acres,01 August 2013,"$60,500.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,66339977 Manitoba Ltd. o/a The Massey Home,27 September 2016,"$60,600.00"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,I Have A Chance Support Services Ltd.,18 December 2020,"$60,609.28"
Residential Care,Service Contract,Sole Source,Pangnirtung,Family Services,Reepa Evic Carleton,01 April 2015,"$60,660.00"
